2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0.0,0.0,13.0,14.0,15.0,15.0,13.0,13.0,12.0,8.0,1.0,3.0,2.0,1.0
0.0,0.0,3.0,6.0,5.0,5.0,5.0,4.0,5.0,8.0,5.0,6.0,4.0,1.0
0.0,0.0,19.0,36.0,27.0,32.0,34.0,29.0,27.0,23.0,2.0,16.0,10.0,11.0
0.0,2.0,22.0,67.0,74.0,78.0,80.0,88.0,88.0,86.0,28.0,40.0,21.0,13.0
0.0,1.0,72.0,120.0,118.0,105.0,109.0,118.0,104.0,103.0,40.0,54.0,30.0,33.0
0.0,0.0,141.0,213.0,204.0,201.0,202.0,218.0,223.0,209.0,63.0,109.0,71.0,60.0
0.0,1.0,184.0,297.0,311.0,315.0,296.0,343.0,355.0,377.0,134.0,212.0,158.0,116.0
0.0,0.0,182.0,337.0,345.0,358.0,374.0,380.0,389.0,440.0,171.0,189.0,179.0,146.0
0.0,0.0,196.0,397.0,403.0,499.0,493.0,505.0,514.0,477.0,167.0,285.0,236.0,162.0
0.0,2.0,156.0,380.0,367.0,394.0,398.0,421.0,428.0,405.0,131.0,197.0,186.0,163.0
0.0,0.0,66.0,192.0,211.0,242.0,269.0,317.0,286.0,306.0,87.0,166.0,132.0,114.0
0.0,1.0,82.0,245.0,258.0,280.0,300.0,316.0,339.0,334.0,120.0,189.0,157.0,118.0
0.0,0.0,116.0,321.0,292.0,304.0,341.0,361.0,385.0,414.0,131.0,237.0,165.0,169.0
0.0,1.0,145.0,444.0,472.0,523.0,479.0,495.0,441.0,433.0,142.0,270.0,210.0,195.0
0.0,0.0,171.0,569.0,602.0,823.0,906.0,918.0,847.0,931.0,324.0,576.0,382.0,381.0
0.0,0.0,91.0,236.0,268.0,288.0,325.0,329.0,362.0,373.0,171.0,378.0,343.0,313.0
0.0,0.0,13.0,51.0,68.0,63.0,78.0,95.0,132.0,147.0,42.0,110.0,145.0,107.0
0.0,0.0,12.0,38.0,26.0,42.0,25.0,28.0,58.0,37.0,14.0,54.0,47.0,21.0
0.0,0.0,3.0,6.0,7.0,12.0,16.0,26.0,36.0,28.0,4.0,22.0,31.0,12.0
0.0,0.0,1.0,6.0,15.0,6.0,9.0,9.0,17.0,17.0,3.0,17.0,19.0,10.0
0.0,0.0,0.0,1.0,23.0,17.0,9.0,18.0,31.0,19.0,11.0,19.0,34.0,21.0
