Id,Date,RatingSymbol,RatingNumber
0,2014-09-15,B+,13
0,2015-06-08,B+,13
0,2016-06-29,B+,13
0,2017-02-14,B+,13
0,2017-02-24,B+,13
0,2017-06-21,B+,13
0,2018-06-14,B+,13
0,2019-03-18,BB-,12
0,2019-09-06,BB,11
0,2020-04-02,BB,11
0,2021-05-14,BB,11
1,2019-06-05,CCC+,16
1,2019-06-27,B-,15
1,2020-03-20,B-,15
1,2021-06-24,B-,15
2,2020-08-06,B,14
2,2021-05-20,B-,15
3,2010-10-29,BBB+,7
3,2011-07-13,BBB+,7
3,2011-07-18,BBB+,7
3,2011-11-01,BBB+,7
3,2012-06-08,BBB+,7
3,2012-11-30,BBB+,7
3,2013-09-26,BBB+,7
3,2014-11-13,BBB+,7
3,2015-11-02,BBB+,7
3,2016-08-31,BBB+,7
3,2016-10-20,BBB+,7
3,2016-12-09,BBB+,7
3,2016-12-15,BBB+,7
3,2017-10-19,BBB+,7
3,2017-12-14,BBB+,7
3,2018-09-25,BBB+,7
3,2019-03-12,A,5
3,2019-05-13,A,5
3,2020-02-13,A,5
3,2020-03-12,A,5
3,2020-04-16,A,5
3,2020-04-23,A-,6
3,2020-11-18,BBB+,7
3,2021-03-25,BBB+,7
4,2011-02-16,B,14
4,2011-08-26,B,14
4,2012-04-24,B,14
4,2012-08-15,B,14
4,2013-04-25,B,14
4,2013-08-30,B-,15
4,2014-05-08,B-,15
5,2018-08-10,B,14
5,2020-02-04,B,14
6,2014-08-01,BBB,8
6,2014-12-09,BBB,8
6,2015-07-21,BBB,8
6,2016-07-15,BBB,8
6,2017-07-19,BBB,8
6,2017-10-16,BBB,8
6,2018-07-13,BBB,8
6,2020-07-15,BBB,8
7,2016-05-17,BB,11
7,2017-05-19,BB,11
7,2018-05-16,BB,11
7,2019-01-31,BB,11
7,2019-03-19,BB-,12
7,2020-03-31,B+,13
7,2020-08-31,B-,15
7,2021-01-08,B-,15
7,2021-06-04,B-,15
8,2011-03-24,AA-,3
8,2012-03-29,AA-,3
8,2013-03-29,AA-,3
8,2013-11-26,AA-,3
8,2013-12-17,AA-,3
8,2014-11-20,AA-,3
8,2015-11-19,AA-,3
8,2016-11-11,AA-,3
8,2017-11-28,AA-,3
8,2018-11-20,AA-,3
8,2019-05-02,AA-,3
8,2020-01-31,AA-,3
8,2020-02-24,A+,4
9,2011-06-13,A,5
9,2012-08-31,A,5
9,2013-11-29,NR,21
10,2020-03-19,CCC+,16
11,2014-04-03,B+,13
11,2014-06-24,B+,13
11,2014-12-12,B+,13
11,2015-04-29,B+,13
11,2016-04-15,B+,13
11,2016-10-26,B,14
11,2017-04-10,B,14
11,2017-10-06,B-,15
11,2018-02-12,B-,15
11,2019-03-21,B,14
11,2019-07-16,CCC,17
11,2019-12-12,D,20
11,2020-02-13,NR,21
12,2021-04-08,CCC+,16
13,2011-04-18,B+,13
13,2011-10-04,B+,13
13,2012-09-25,B+,13
13,2013-08-23,B+,13
13,2014-11-19,B+,13
13,2014-12-08,NR,21
14,2011-04-27,AA-,3
14,2012-01-24,AA-,3
14,2013-01-31,AA-,3
14,2014-01-23,AA-,3
14,2015-01-26,AA-,3
14,2015-09-17,AA-,3
14,2016-01-19,AA-,3
14,2017-01-19,AA-,3
14,2017-04-10,AA-,3
14,2018-01-25,AA-,3
14,2018-01-31,AA-,3
14,2019-01-17,AA-,3
14,2020-04-16,AA-,3
14,2020-08-03,AA-,3
14,2021-05-20,A,5
15,2012-11-28,B,14
15,2013-02-13,NR,21
16,2016-09-21,B+,13
16,2017-04-27,B+,13
16,2018-04-27,B+,13
16,2019-02-13,B+,13
16,2020-05-20,B+,13
16,2021-02-17,BB-,12
17,2018-09-06,B,14
17,2019-11-26,B-,15
18,2012-02-17,B,14
18,2013-01-29,B,14
18,2013-10-01,B,14
18,2014-11-24,B-,15
18,2015-11-19,B-,15
18,2016-05-24,CCC+,16
18,2016-11-17,CCC+,16
18,2017-09-29,CC,19
18,2017-11-08,D,20
18,2017-12-19,CCC+,16
18,2019-06-06,CC,19
18,2019-07-23,D,20
18,2019-08-01,CCC+,16
18,2020-08-11,CCC+,16
18,2020-12-15,CCC+,16
19,2020-02-18,B,14
19,2021-03-17,B,14
20,2016-11-11,B,14
20,2017-08-09,NR,21
21,2015-04-28,BB-,12
21,2016-04-15,BB-,12
21,2017-02-24,B+,13
21,2017-04-07,B+,13
21,2018-02-16,B+,13
21,2018-04-20,B+,13
21,2018-08-24,BBB+,7
21,2018-10-23,NR,21
22,2012-01-05,B+,13
22,2013-01-24,B+,13
22,2013-06-26,B,14
22,2013-10-31,B-,15
22,2014-01-31,B-,15
22,2014-08-18,B-,15
22,2015-02-09,CCC+,16
22,2016-01-22,CC,19
22,2016-02-09,D,20
22,2016-02-19,CCC+,16
23,2013-09-25,BBB+,7
23,2014-05-14,BBB+,7
23,2015-01-29,BBB+,7
23,2015-05-29,BBB+,7
23,2015-11-13,BBB+,7
23,2015-12-04,BBB+,7
23,2016-02-19,BBB+,7
23,2016-07-05,BBB+,7
23,2016-11-14,BBB,8
23,2017-08-23,BBB,8
23,2017-11-27,BBB,8
23,2018-11-27,BBB,8
23,2019-05-28,BBB,8
23,2020-04-27,BBB,8
23,2020-10-30,BBB,8
24,2010-12-20,B-,15
24,2011-10-26,B-,15
24,2012-02-21,B-,15
24,2012-11-30,B-,15
24,2013-02-19,CCC+,16
24,2013-05-23,CCC-,18
24,2013-08-19,CCC-,18
24,2013-12-05,D,20
24,2014-02-07,NR,21
25,2010-10-21,B-,15
25,2011-10-26,B-,15
25,2012-02-21,B-,15
25,2012-11-30,B-,15
25,2013-02-19,CCC+,16
25,2013-05-23,CCC-,18
25,2013-08-19,CCC-,18
25,2013-12-05,D,20
25,2014-02-07,NR,21
26,2010-10-21,B-,15
26,2011-10-26,B-,15
26,2012-02-21,B-,15
26,2012-11-30,B-,15
26,2013-02-19,CCC+,16
26,2013-05-23,CCC-,18
26,2013-08-19,CCC-,18
26,2013-12-05,D,20
26,2014-02-07,NR,21
27,2010-07-14,BBB+,7
27,2011-09-20,BBB+,7
27,2012-04-05,BBB,8
27,2013-05-01,BBB,8
27,2014-06-10,BBB,8
27,2014-12-09,BBB,8
27,2015-07-17,BBB,8
27,2016-02-26,BBB,8
27,2016-07-28,BBB,8
27,2017-05-23,BBB,8
27,2018-05-28,BBB,8
27,2019-05-28,BBB,8
27,2020-05-15,BBB,8
27,2021-02-08,BBB,8
28,2017-04-04,B,14
28,2018-04-25,B,14
28,2020-03-17,B,14
28,2020-06-18,B,14
28,2021-02-01,B,14
29,2011-01-20,B,14
29,2011-08-30,B,14
29,2011-10-28,B,14
29,2012-08-31,B-,15
29,2012-10-26,B-,15
29,2013-08-23,B-,15
29,2013-11-21,B-,15
29,2014-07-24,B-,15
29,2014-10-15,B-,15
29,2015-05-08,CCC+,16
29,2015-10-13,NR,21
30,2017-06-06,B-,15
30,2018-06-13,B-,15
30,2018-11-09,B-,15
30,2019-03-15,CCC,17
30,2019-11-25,D,20
30,2021-01-19,NR,21
31,2019-06-17,B-,15
31,2020-04-16,B-,15
31,2020-10-16,B-,15
32,2011-02-24,BB,11
32,2011-10-25,BB,11
32,2012-02-28,BB,11
32,2013-03-01,BB,11
32,2014-02-12,BB,11
32,2015-02-12,BB,11
32,2015-02-24,BB,11
32,2015-04-03,BB+,10
32,2016-02-16,BB+,10
32,2017-02-15,BB+,10
32,2018-02-16,BB+,10
32,2020-04-09,BB+,10
32,2020-05-28,BB,11
32,2021-02-16,BB,11
33,2010-11-09,BBB+,7
33,2011-11-09,BBB+,7
33,2012-11-01,BBB+,7
33,2013-10-22,BBB+,7
33,2014-08-18,BBB+,7
33,2014-11-06,BBB,8
33,2015-11-26,BBB,8
33,2015-12-17,BBB+,7
33,2016-12-19,A-,6
33,2017-12-11,A-,6
33,2018-12-21,A-,6
34,2017-10-18,BBB+,7
34,2018-05-16,BBB+,7
34,2019-05-31,BBB+,7
34,2020-05-11,BBB+,7
34,2020-11-12,BBB+,7
35,2011-04-15,BBB,8
35,2011-12-14,BBB,8
35,2012-11-22,BBB,8
35,2013-09-20,BBB,8
35,2014-09-30,BBB,8
35,2014-11-27,BBB,8
35,2015-09-29,BBB,8
35,2015-12-18,BBB,8
35,2016-03-01,BBB,8
35,2016-09-26,BBB,8
35,2017-06-30,BBB+,7
35,2018-06-27,BBB+,7
35,2019-04-16,A-,6
35,2020-05-14,A-,6
35,2021-06-03,A-,6
36,2010-06-08,A,5
36,2011-09-02,A,5
36,2012-02-01,A,5
36,2012-09-24,A,5
36,2013-09-30,A,5
36,2014-12-24,A,5
36,2015-12-04,A,5
36,2016-11-03,A,5
36,2017-11-28,A,5
36,2018-11-22,A,5
36,2018-12-17,A,5
36,2019-11-01,A,5
36,2020-11-12,A-,6
37,2010-06-08,A,5
37,2011-09-02,A,5
37,2012-02-01,A,5
37,2012-09-24,A,5
37,2013-09-30,A,5
37,2014-12-24,A,5
37,2015-12-04,A,5
37,2016-11-03,A,5
37,2017-11-28,A,5
37,2018-11-22,A,5
37,2018-12-17,A,5
37,2019-11-01,A,5
37,2020-11-12,A-,6
38,2010-06-08,A,5
38,2011-09-02,A,5
38,2012-02-01,A,5
38,2012-09-24,A,5
38,2013-09-30,A,5
38,2014-12-24,A,5
38,2015-12-04,A,5
38,2016-11-03,A,5
38,2017-11-28,A,5
38,2018-11-22,A,5
38,2018-12-17,A,5
38,2019-11-01,A,5
38,2020-11-12,A-,6
39,2011-12-09,A,5
39,2012-02-01,A,5
39,2012-09-24,A,5
39,2013-09-30,A,5
39,2014-12-24,A,5
39,2015-12-04,A,5
39,2016-11-03,A,5
39,2017-11-28,A,5
39,2018-11-22,A,5
39,2018-12-17,A,5
39,2019-11-01,A,5
39,2020-11-12,A-,6
40,2010-06-08,A,5
40,2011-09-02,A,5
40,2012-02-01,A,5
40,2012-09-24,A,5
40,2013-09-30,A,5
40,2014-12-24,A,5
40,2015-12-04,A,5
40,2016-11-03,A,5
40,2017-11-28,A,5
40,2018-11-22,A,5
40,2018-12-17,A,5
40,2019-11-01,A,5
40,2020-11-12,A-,6
41,2010-06-08,A,5
41,2011-09-02,A,5
41,2012-02-01,A,5
41,2012-09-24,A,5
41,2013-08-02,NR,21
42,2010-06-08,A,5
42,2011-09-02,A,5
42,2012-02-01,A,5
42,2012-09-24,A,5
42,2013-09-30,A,5
42,2014-12-24,A,5
42,2015-12-04,A,5
42,2016-11-03,A,5
42,2017-11-28,A,5
42,2018-11-22,A,5
42,2018-12-17,A,5
42,2019-11-01,A,5
42,2020-11-12,A-,6
43,2011-06-16,A,5
43,2011-06-18,NR,21
43,2011-07-08,A,5
43,2012-02-01,A,5
43,2012-09-24,A,5
43,2013-09-30,A,5
43,2014-12-24,A,5
43,2015-12-04,A,5
43,2016-11-03,A,5
43,2017-11-28,A,5
43,2018-11-22,A,5
43,2018-12-17,A,5
43,2019-11-01,A,5
43,2020-11-12,A-,6
44,2012-10-24,B,14
44,2013-01-18,B,14
44,2013-07-15,B,14
44,2014-08-15,B,14
44,2015-08-18,B,14
44,2015-09-10,B,14
44,2015-10-09,B,14
44,2016-06-02,B,14
44,2016-08-23,B,14
44,2017-06-16,B-,15
44,2017-08-24,B-,15
44,2018-08-27,B-,15
44,2019-06-26,CCC+,16
44,2020-08-25,CCC+,16
44,2021-05-24,CCC+,16
45,2017-11-29,B-,15
45,2020-04-02,B-,15
45,2020-08-25,B-,15
46,2014-06-23,B,14
46,2014-10-23,B,14
46,2015-06-30,B,14
46,2016-06-28,B,14
46,2017-06-16,B,14
46,2017-11-21,B-,15
46,2018-04-30,NR,21
47,2018-01-14,BB-,12
47,2018-07-23,BB-,12
47,2019-04-01,BB-,12
47,2019-11-15,BB-,12
47,2020-04-14,B+,13
47,2020-12-08,B+,13
47,2021-04-05,BB-,12
48,2017-12-08,B-,15
48,2018-03-06,NR,21
49,2015-06-09,B-,15
49,2015-10-14,NR,21
50,2010-07-09,B+,13
50,2011-07-28,B+,13
50,2011-11-18,B+,13
50,2012-02-01,B+,13
50,2012-05-01,BB-,12
50,2013-02-19,BB-,12
50,2014-03-21,BB-,12
50,2015-03-24,BB-,12
50,2016-03-29,BB-,12
50,2016-12-08,BB-,12
50,2017-03-15,BB-,12
50,2017-08-01,BB-,12
50,2018-03-22,BB,11
50,2020-03-19,BB,11
50,2020-05-12,BB-,12
50,2021-03-01,BB-,12
51,2013-08-12,BB-,12
51,2013-11-26,BB-,12
51,2013-12-18,BB,11
51,2014-11-26,BB,11
51,2015-11-13,BB,11
51,2016-11-11,BB-,12
51,2016-11-21,BB-,12
51,2017-03-02,BB-,12
51,2017-10-25,BB-,12
51,2018-04-09,BB,11
51,2018-10-25,BB,11
51,2019-02-28,BB,11
51,2019-08-26,BB,11
51,2020-03-06,BB,11
52,2019-01-30,B,14
52,2019-11-21,B,14
52,2020-01-31,B,14
52,2020-03-20,B,14
52,2020-05-01,B,14
52,2021-01-29,B,14
52,2021-04-27,B-,15
53,2018-04-04,BBB,8
53,2018-05-15,BBB,8
53,2020-10-21,BBB,8
53,2021-03-09,BBB-,9
54,2017-05-08,BBB,8
54,2017-10-23,BBB,8
54,2018-05-15,BBB,8
54,2019-05-16,BBB,8
54,2020-05-20,BBB,8
54,2020-10-21,BBB,8
54,2021-03-09,BBB-,9
55,2019-04-29,B+,13
55,2020-03-31,B+,13
55,2020-04-23,B+,13
55,2021-04-28,B+,13
56,2015-04-16,B,14
56,2016-04-19,B,14
56,2017-04-10,B,14
56,2018-04-03,B,14
56,2018-04-26,B,14
56,2020-03-30,B,14
56,2020-09-30,B,14
56,2020-12-01,B,14
56,2021-06-14,B,14
57,2011-03-14,B+,13
57,2012-03-27,B+,13
57,2013-04-01,B,14
57,2014-04-18,B,14
57,2015-04-10,B,14
57,2015-06-10,B,14
57,2016-03-30,B,14
57,2017-01-17,B,14
57,2018-05-02,B,14
57,2019-04-15,B+,13
57,2021-02-09,B+,13
58,2019-04-30,B+,13
58,2020-04-17,B+,13
59,2015-04-01,B,14
59,2015-09-30,B,14
59,2016-04-27,B,14
59,2016-08-23,B,14
59,2016-10-06,B,14
59,2016-11-10,B-,15
59,2017-04-13,B-,15
59,2017-05-24,CCC+,16
59,2017-09-18,CCC-,18
59,2017-10-17,D,20
59,2018-04-27,D,20
59,2018-07-31,B-,15
60,2021-03-17,B-,15
61,2018-07-26,B+,13
61,2019-01-29,NR,21
62,2014-10-20,BB,11
62,2015-10-16,BB,11
62,2016-10-20,BB,11
62,2017-10-25,BB,11
62,2018-02-16,BB,11
62,2019-02-12,BB,11
62,2021-02-10,BB,11
63,2011-05-09,B-,15
63,2011-11-10,B-,15
