,lower,upper
AAA,-65.09108946614106,388.3334039592717
AA+,-113.14536629757329,687.8573621860904
AA,-26.683155411656305,156.972119387726
AA-,-10.384469089009976,60.74170618297684
A+,-7.046055204794287,41.166834739046024
A,-3.749033305197675,21.879029793147303
A-,-2.272390807768897,13.254760551848959
BBB+,-2.0295079265626192,11.83705020541384
BBB,-1.6457839146100475,9.597729457513255
BBB-,-0.37670836085037207,17.70307782365411
BB+,2.502023824985226,35.118165993435575
BB,0.674719345941184,26.764681333474687
BB-,29.369677802660558,76.40548528412182
B+,42.18837898996021,88.08262447672622
B,64.84729110714156,103.99255699300708
B-,244.1085655596127,348.5891401348922
CCC+,1155.0768434810054,1537.8718300363976
CCC,1997.1883746661151,2763.28693310061
CCC-,2531.638558910415,3681.5821127032964
CC,2401.547163314226,3904.579202770291
