,lower,upper
AAA,0.0,315.6819598824707
AA+,0.0,568.7235233197819
AA,0.0,125.96552526981499
AA-,0.0,48.483921518641516
A+,0.0,32.823725476709456
A,0.0,17.42630894487017
A-,0.0,10.552183244415927
BBB+,0.0,9.422798879628928
BBB,0.0,7.63925887589253
BBB-,0.062282236431284416,13.698674948569101
BB+,2.2851919596102688,32.3409952166056
BB,0.7841987529088764,23.368664245214777
BB-,27.154553809535468,74.46723231420034
B+,39.479303077369245,85.67794433500357
B,62.991002206705794,102.63713287128846
B-,242.10504454485985,348.4225893249085
CCC+,1144.2740846750205,1533.7367845400238
CCC,1980.4037606786,2766.5294316869617
CCC-,2490.339795891261,3679.736609342756
CC,2332.798180104112,3902.691518598442
