rating,rating_action_date,obligor_name,rating_outlook
B+,2014-09-15,1011778 B.C. Unlimited Liability Company,Stable
B+,2015-06-08,1011778 B.C. Unlimited Liability Company,Stable
B+,2016-06-29,1011778 B.C. Unlimited Liability Company,Stable
B+,2017-02-14,1011778 B.C. Unlimited Liability Company,Stable
B+,2017-02-24,1011778 B.C. Unlimited Liability Company,Stable
B+,2017-06-21,1011778 B.C. Unlimited Liability Company,Stable
B+,2018-06-14,1011778 B.C. Unlimited Liability Company,Stable
BB-,2019-03-18,1011778 B.C. Unlimited Liability Company,Positive
BB,2019-09-06,1011778 B.C. Unlimited Liability Company,Stable
BB,2020-04-02,1011778 B.C. Unlimited Liability Company,Negative
BB,2021-05-14,1011778 B.C. Unlimited Liability Company,Stable
CCC+,2019-06-05,"18 Fremont Street Acquisition, LLC",Stable
B-,2019-06-27,"18 Fremont Street Acquisition, LLC",Stable
B-,2020-03-20,"18 Fremont Street Acquisition, LLC",Not Available
B-,2021-06-24,"18 Fremont Street Acquisition, LLC",Stable
B,2020-08-06,1A Smart Start LLC,Stable
B-,2021-05-20,1A Smart Start LLC,Stable
BBB+,2010-10-29,"21st Century Fox America, Inc.",Stable
BBB+,2011-07-13,"21st Century Fox America, Inc.",Stable
BBB+,2011-07-18,"21st Century Fox America, Inc.",Not Available
BBB+,2011-11-01,"21st Century Fox America, Inc.",Not Available
BBB+,2012-06-08,"21st Century Fox America, Inc.",Not Available
BBB+,2012-11-30,"21st Century Fox America, Inc.",Stable
BBB+,2013-09-26,"21st Century Fox America, Inc.",Stable
BBB+,2014-11-13,"21st Century Fox America, Inc.",Stable
BBB+,2015-11-02,"21st Century Fox America, Inc.",Stable
BBB+,2016-08-31,"21st Century Fox America, Inc.",Stable
BBB+,2016-10-20,"21st Century Fox America, Inc.",Stable
BBB+,2016-12-09,"21st Century Fox America, Inc.",Not Available
BBB+,2016-12-15,"21st Century Fox America, Inc.",Not Available
BBB+,2017-10-19,"21st Century Fox America, Inc.",Not Available
